brewery,just_a_bar,brewery_id,loc_num,street,city,zipcode,phone_number,latitude ,longitude,serves_food,beer_types,happy_hour,capacity,wine,liquor,price,reservations,dogs,public_transport,outdoor,gluten_free,hour_m,hour_tu,hour_wed,hour_th,hour_fr,hour_sat,hour_sun,website,instagram
Mikkeller Bar,1,20,1,34 Mason St,San Francisco,94102,(415) 984-0279,37.7839519,-122.4112479,1,"IPA, Dark IPA, Barrel-aged IPA, West Coast IPA, Sour IPA, Sour Ale, Pale Ale, Stout, Imperial Stout, Porter, Lambic, Berliner Weisse, Bock, Barleywine, Pilsner, Kolsch, Amber Lager, Smoked Lager, Wheat Beer, Belgian Tripel, Saison",0,,,,$$,0,0,1,0,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-26:00,12:00-26:00,11:00-26:00,11:00-24:00,http://www.mikkellerbar.com/,@mikkellerdtla
Local Brewing Co.,0,21,1,69 Bluxome St,San Francisco,94107,(415) 932-6702,37.77649,-122.39716,1,"West Coast IPA, Double IPA, Golden IPA, Lager, Hefeweizen, Stout, Imperial Stout, Belgian Dubbel",0,,,,$$,,,,,,14:00-21:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-21:00,http://localbrewingco.com/,@localbrewingco
Drakes-Oakland,0,22,1,2325 Broadway Auto Row,Oakland,94612,(510) 568-2739 ,37.813149,-122.26481,1,"Dark IPA, Double IPA, Triple IPA, Red Ale, Brown Ale, Pale Ale, Imperial Stout, Stout, Porter ",,,,,$$,1,1,,1,,11:30-23:00,11:30-23:00,11:30-23:00,11:30-25:00,11:30-25:00,12:00-25:00,12:00-23:00,https://drinkdrakes.com/,@drakesbeer
Drakes-San Leandro,0,22,2,1933 Davis St,San Leandro,94577,(510) 568-BREW,37.71651,-122.178786,0,"Dark IPA, Double IPA, Triple IPA, Red Ale, Brown Ale, Pale Ale, Imperial Stout, Stout, Porter ",,,,,,,,,,,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-22:00,11:30-22:00,11:30-19:00,https://drinkdrakes.com/,@drakesbeer
Magnolia Brewing,0,23,1,1398 Haight St,San Francisco,94117,(415) 864-7468,37.771472,-122.445188,1,"IPA, Pale Ale, Golden Ale, Kolsch, Dortmunder, Belgian Witbier, Belgian Dubbel, Porter",,,,,$$,0,1,,1,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-23:00,10:00-23:00,10:00-22:00,http://magnoliabrewing.com/,@magnoliapub
Armstrong Brewing,0,24,1,415 Grand Ave,San Francisco,94080,(650) 989-8447,37.655971,-122.413146,1,"Dark IPA, Brown Ale, Gose, Stout, Oktoberfest, Dunkelweizen",,,,,$,0,0,,0,,15:00-21:00,15:00-21:00,11:30-22:00,11:30-22:00,11:30-23:00,11:30-23:00,-1,https://www.armstrongbrewing.com/,@armstrongbrewing
Cleophus Quealy Beer Co.,0,25,1,448 Hester St,San Leandro,94577,(510) 463-4534,37.722176,-122.190189,1,"IPA, Pale Ale ,Golden Ale, Hefeweizen, Saison, Baltic Porter",,,,,$$,0,1,,1,,-1,-1,-1,15:00-21:00,15:00-21:00,12:00-21:00,12:00-20:00,http://www.cleoph.us/,@cleophus_quealy
Armistice Brewing,0,26,1,845 Marina Bay Pkwy #1,Richmond,94804,(510) 230-4966,37.919728,-122.348231,,"IPA, Golden Ale, Brown Ale, Amber Ale, Saison, Porter",,,,,$,,1,,1,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-24:00,12:00-24:00,12:00-22:00,http://www.armisticebrewing.com/,@armisticebeer
Speakeasy Ales & Lagers,0,27,1,1195 Evans Ave,San Francisco,94124,(415) 642-3371,37.738429,-122.380474,,"IPA, Double IPA, Session IPA, Pale Ale, Rye Beer, Porter, Lager, Pilsner",,,,,$,0,0,,0,,-1,15:00-21:00,15:00-21:00,15:00-21:00,12:00-22:00,12:00-22:00,12:00-20:00,https://www.goodbeer.com/taproom/,@speakeasybeer
Public House,0,28,1,24 Willie Mays Plaza,San Francisco,94107,(415) 644-0240,37.781995,-122.390452,,"Blonde Ale, Brown Ale, Sour Ale, Pale Ale, Porter, Lambic, Saison, Porter, Stout, Imperial Stout, Barleywine, Lager, Wheat Beer, Pilsner",,,,,$$,0,1,,1,,-1,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,10:00-21:00,http://publichousesf.com/,NA
Sierra Nevada,0,29,1,2031 Fourth St,Berkeley,94710,(510) 647-3439,37.874987,-122.299518,,"IPA, Double IPA, Pale Ale, Quadruple, Doppelbock, Saison, Gose, Imperial Stout, Pilsner",,,,,$,1,1,,0,,-1,12:00-21:00,12:00-21:00,12:00-21:00,12:00-22:00,11:00-22:00,12:00-19:00,https://www.sierranevada.com/brewery/california/taproom,@sierranevada
Emporium,0,30,1,616 Divisadero St,San Francisco,94117,NA,37.775484,-122.437457,,"IPA, Double IPA, Pale Ale, Red Ale, Saison, Lager, Stout, Kolsch, Pilsner",,,,,$$,1,0,,0,,16:00-26:00,-1,16:00-26:00,16:00-26:00,15:00-26:00,12:00-26:00,12:00-26:00,http://emporiumsf.com/beer/,@emporiumsf
